ID,ANIMAL NAME,PHOTO,PROFILE,PHOTO LOCATION,ORIGINAL ID BY,SEX,TAGGED,PIT TAG,DNA,SAMPLE .,CU SAMPLE,DNA PLATE,WELL,NOTES,AGE,GENERAL LOCATION,DATE TAGGED,DATE DNA TAKEN,TAG 30/09,GENOTYPED,GENOTYPED SAMPLE NO,EXTACTED?,DATE EXTRACTED,DATE GENOTYPED,TAIL,BLOOD,SKIN,FAECES
1168,Zazu,TRUE,L & R,,CP,M,TRUE,880098331,TRUE,538,,,,,Juvenile,PGROUND,15/12/2016,15/12/2016,0,TRUE,,FALSE,,,TRUE,FALSE,FALSE,FALSE
1169,Sarabi,TRUE,L & R,,CP,F,TRUE,880098314,TRUE,539,,,,,Juvenile,ARID,15/12/2016,15/12/2016,0,TRUE,,FALSE,,,TRUE,FALSE,FALSE,FALSE
1170,Borinot,TRUE,L & R,,CP,F,TRUE,880098330,TRUE,542,,,,,Adult,BBABS,15/12/2016,15/12/2016,0,FALSE,,FALSE,,,TRUE,FALSE,FALSE,TRUE
1171,Dopey,TRUE,L & R,,CP,U,TRUE,880098348,TRUE,543,,,,,Juvenile,ARID,15/12/2016,15/12/2016,0,TRUE,,FALSE,,,TRUE,FALSE,FALSE,TRUE
1172,Seal,TRUE,L & R,,CP,F,TRUE,880098304,TRUE,545,,,,,Juvenile,SPEC,15/12/2016,15/12/2016,0,TRUE,,FALSE,,,TRUE,FALSE,FALSE,FALSE
1173,Sneezy,TRUE,L & R,,CP,M,TRUE,880098399,TRUE,547,,,,,Juvenile,PGROUND,15/12/2016,15/12/2016,0,TRUE,,FALSE,,,TRUE,FALSE,FALSE,FALSE
1174,Oregano,TRUE,L & R,,CP,M,TRUE,880098338,TRUE,548,,,,,Juvenile,,15/12/2016,15/12/2016,0,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1175,Bashful,TRUE,L & R,,CP,M,TRUE,880098364,TRUE,549,,,,,Adult,SPEC,15/12/2016,15/12/2016,0,TRUE,,FALSE,,,TRUE,FALSE,FALSE,FALSE
1176,Mouse,TRUE,L & R,,CP,F,TRUE,880098321,TRUE,551 & RSP 574,,,,Previously tagged 15/12/2016 880098340; DNA previously taken 15/12/2016 RSP 551,Adult,SPEC,27/03/2018,27/03/2018,0,TRUE,,FALSE,,,FALSE,TRUE,FALSE,FALSE
1177,Kocoum,TRUE,L & R,,CP,M,TRUE,880098374,TRUE,552,,,,,Juvenile,PGROUND,15/12/2016,15/12/2016,0,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1178,Pocahontas,TRUE,L & R,,CP,F,TRUE,880098360,TRUE,553,,,,Individual euthanized 19/11/18 due to severe fugal infection. Necropsy performed 19/11/18 by Nicola Peterson.,Adult,SPEC,15/12/2016,15/12/2016,0,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1179,Meeko,TRUE,L & R,,CP,M,TRUE,880098400,TRUE,557,,,,,Juvenile,PGROUND,15/12/2016,15/12/2016,0,FALSE,,FALSE,,,FALSE,TRUE,FALSE,TRUE
1180,Percy,TRUE,L & R,,CP,F,TRUE,880098358,TRUE,555,,,,,Adult,SPEC,15/12/2016,15/12/2016,0,TRUE,,FALSE,,,TRUE,FALSE,FALSE,TRUE
1181,Queen,TRUE,L & R,,CP,U,TRUE,880098333,TRUE,556,,,,,Juvenile,SPEC,15/12/2016,15/12/2016,0,TRUE,,FALSE,,,FALSE,FALSE,FALSE,TRUE
1182,Dylan,TRUE,L & R,,CP,M,TRUE,880098384,TRUE,558,,,,,Juvenile,SPEC,15/12/2016,15/12/2016,0,TRUE,,FALSE,,,TRUE,FALSE,FALSE,TRUE
1183,Neil,TRUE,L & R,,CP,M,TRUE,880098327,TRUE,559,,,,,Juvenile,PGROUND,15/12/2016,15/12/2016,0,TRUE,,FALSE,,,TRUE,FALSE,FALSE,FALSE
1184,Macadamia,TRUE,L & R,,CP,M,TRUE,880098396,TRUE,560,,,,,Juvenile,SPEC,15/12/2016,15/12/2016,0,TRUE,,FALSE,,,TRUE,FALSE,FALSE,FALSE
1185,Walnut,TRUE,L & R,,CP,M,TRUE,880098380,TRUE,561,,,,,Juvenile,SPEC,15/12/2016,15/12/2016,0,TRUE,,FALSE,,,FALSE,FALSE,TRUE,FALSE
1186,Distortion,TRUE,R,,CP,F,FALSE,,FALSE,,,,,,Adult,LAKE,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1187,Coolum,TRUE,R,,CP,M,FALSE,,FALSE,,,,,,Juvenile,SPEC,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1188,Whale,TRUE,L & R,,CP,U,TRUE,880108171,TRUE,501B,,,,,Juvenile,,,,0,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1189,Jacob,TRUE,R,,CP,M,TRUE,880108187,TRUE,502B,,,,,Juvenile,,26/11/2016,26/11/2016,0,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1190,Kermit,TRUE,L & R,,CP,F,TRUE,880108128,TRUE,503B,,,,,Juvenile,,,,0,TRUE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1191,Clock,TRUE,L,,CP,M,FALSE,,FALSE,,,,,"Same than Cuckoo, other profile?",Adult,SPEC,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1192,Doraemon,TRUE,R,,CP,M,FALSE,,FALSE,,,,,,Juvenile,SPEC,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1194,Giant,TRUE,L,,CP,M,FALSE,,FALSE,,,,,,Juvenile,SPEC,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1195,Spot,TRUE,R,,CP,F,FALSE,,FALSE,,,,,,Juvenile,BBABS,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1199,Other,TRUE,R,,CP,F,FALSE,,FALSE,,,,,,Adult,LAKE,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1200,Ringo,TRUE,L,,CP,M,FALSE,,FALSE,,,,,,Juvenile,SPEC,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1201,Lagertha,TRUE,L & R,,CP,F,TRUE,880098355,TRUE,RSP 583,,,,,Adult,SPEC,27/03/2018,27/03/2018,0,TRUE,,FALSE,,,TRUE,TRUE,FALSE,FALSE
1202,Walle,TRUE,R,,CP,M,FALSE,,FALSE,,,,,,Juvenile,SPEC,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1203,Aloe,TRUE,L & R,,CP,M,TRUE,001026366901,TRUE,RSP 720,,,,,Adult,LAKE,16/11/2018,16/11/2018,0,FALSE,,FALSE,,,TRUE,FALSE,FALSE,FALSE
1204,December,TRUE,R,,CP,M,FALSE,,FALSE,,,,,,Juvenile,ARID,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1206,Takeshi,TRUE,L,,CP,M,FALSE,,FALSE,,,,,,Juvenile,SPEC,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1207,Tomato,TRUE,L,,CP,U,FALSE,,FALSE,,,,,,Juvenile,SPEC,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1208,Bamboo,TRUE,L & R,,CP,F,TRUE,880098375,TRUE,RSP 634,,,,"Spots of fungus on body. Dead on 25/01/2019, was hit by staff with car.",Adult,SPEC,30/03/2018,30/03/2018,0,TRUE,,FALSE,,,TRUE,TRUE,FALSE,FALSE
1209,Pumkin,TRUE,L,,CF,M,FALSE,,FALSE,,,,,,Juvenile,RAINFST,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1210,November,TRUE,L & R,,CF,M,TRUE,880098337,TRUE,RSP 615,,,,Sent off for genome sequencing,Juvenile,RAINFST,29/03/2018,29/03/2018,0,TRUE,,FALSE,,,TRUE,TRUE,TRUE,FALSE
1211,October,TRUE,R,,CF,M,FALSE,,FALSE,,,,,,Juvenile,RAINFST,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1212,Francesc,TRUE,L,,CP,M,FALSE,,FALSE,,,,,,Juvenile,BROMS,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1213,Wasp,TRUE,L,,CP,U,FALSE,,FALSE,,,,,,Juvenile,ARID,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1214,Elephant,TRUE,R,,CP,F,FALSE,,FALSE,,,,,,Juvenile,SPEC,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1215,Comb,TRUE,L,,CP,F,FALSE,,FALSE,,,,,,Adult,ARID,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1216,January,TRUE,R,,CP,M,FALSE,,FALSE,,,,,,Juvenile,BROMS,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1217,Screwed,FALSE,R,,CP,M,FALSE,,FALSE,,,,,,Juvenile,BROMS,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1218,February,TRUE,L,,CP,U,FALSE,,FALSE,,,,,,Juvenile,SPEC,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1219,Bee,TRUE,L,,CP,M,FALSE,,FALSE,,,,,,Juvenile,SPEC,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1220,Cintia,TRUE,L & R,,CP,F,FALSE,,FALSE,,,,,,Juvenile,SPEC,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1221,Mocos,TRUE,R,,CP,M,FALSE,,FALSE,,,,,,Juvenile,PGROUND,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1222,Filiprim,TRUE,R,,CP,M,FALSE,,FALSE,,,,,,Juvenile,SPEC,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
1223,Tear,TRUE,L & R,,CP,F,TRUE,001026367056,TRUE,RSP 658,,,,,Juvenile,SPEC,12/11/2018,12/11/2018,0,FALSE,,FALSE,,,FALSE,TRUE,FALSE,FALSE
1224,John,TRUE,R,,CP,M,FALSE,,FALSE,,,,,,Juvenile,SPEC,,,0,FALSE,,FALSE,,,FALSE,FALSE,FALSE,FALSE
